comment,sentiment
Gross quality,Negative
This phone is amazing,Positive
Gross quality,Negative
Nothing special,Neutral
Produk ini sangat bagus,Positive
Excellent app,Positive
Excellent service,Positive
Service lambat gila,Negative
Nothing special,Neutral
Produk ini okay je,Neutral
这个产品很lag,Negative
Memang scam,Negative
Memang terbaik,Positive
Sangat mengecewakan,Negative
Saya suka app ini,Positive
This restaurant is amazing,Positive
It works as expected,Neutral
真的很满意 lah,Positive
Biasa sahaja,Neutral
Boleh lah,Neutral
Biasa sahaja,Neutral
Biasa sahaja,Neutral
This restaurant memang teruk,Negative
太贵了,Negative
Sangat mengecewakan,Negative
Produk ini sangat bagus,Positive
Produk ini sangat bagus,Positive
Produk ini sangat bagus,Positive
骗人,Negative
Service lambat gila,Negative
Total scam,Negative
Saya menyesal beli,Negative
Awesome experience,Positive
Tiada masalah,Neutral
Service memang mantap,Positive
This product is amazing,Positive
Memang scam,Negative
太贵了,Negative
Tiada masalah,Neutral
Produk ini teruk,Negative
还可以 lah,Neutral
It works as expected,Neutral
这个产品很好,Positive
我很喜欢,Positive
It works as expected,Neutral
一般般,Neutral
没有特别,Neutral
Nothing special,Neutral
Boleh lah,Neutral
Boleh guna,Neutral
Produk ini teruk,Negative
普通,Neutral
Service memang mantap,Positive
Produk ini okay je,Neutral
Sangat mengecewakan,Negative
Excellent product,Positive
Memang scam,Negative
I hate this laptop,Negative
Saya suka camera ini,Positive
Saya menyesal beli,Negative
Awesome experience,Positive
Tiada masalah,Neutral
This service is terrible,Negative
Total scam,Negative
Produk ini sangat bagus,Positive
Memang terbaik,Positive
Gross quality,Negative
值得购买,Positive
Normal quality,Neutral
I love this camera,Positive
It works as expected,Neutral
Service memang mantap,Positive
Berbaloi beli,Positive
我很喜欢,Positive
Service 很差,Negative
Worth every cent,Positive
Service memang mantap,Positive
Memang scam,Negative
It works as expected,Neutral
Biasa sahaja,Neutral
Memang scam,Negative
Total scam,Negative
Worth every cent,Positive
Tiada masalah,Neutral
太贵了,Negative
Memang scam,Negative
Excellent restaurant,Positive
Service lambat gila,Negative
Saya menyesal beli,Negative
非常失望,Negative
Boleh lah,Neutral
太贵了,Negative
Average service,Neutral
Sangat mengecewakan,Negative
Memang terbaik,Positive
Barang ni awesome,Positive
Boleh guna,Neutral
Average camera,Neutral
普通,Neutral
Worst game ever,Negative
This camera is terrible,Negative
正常,Neutral
Sangat mengecewakan,Negative
Awesome experience,Positive
This service is amazing,Positive
I hate this phone,Negative
非常满意,Positive
Normal quality,Neutral
太贵了,Negative
Produk ini teruk,Negative
还可以,Neutral
普通,Neutral
Total scam,Negative
Worst restaurant ever,Negative
It works as expected,Neutral
Boleh lah,Neutral
Memang terbaik,Positive
Service memang mantap,Positive
还可以,Neutral
骗人,Negative
Produk ini teruk,Negative
Normal quality,Neutral
Gross quality,Negative
Worth every cent,Positive
Sangat mengecewakan,Negative
Boleh lah,Neutral
Normal quality,Neutral
Average app,Neutral
Normal quality,Neutral
Biasa sahaja,Neutral
Gross quality,Negative
Normal quality,Neutral
Boleh lah,Neutral
Worst phone ever,Negative
Normal quality,Neutral
This service is amazing,Positive
Gross quality,Negative
Worth every cent,Positive
Gross quality,Negative
Saya menyesal beli,Negative
Gross quality,Negative
Service lambat gila,Negative
Barang ni scam la,Negative
Nothing special,Neutral
Okay je lah,Neutral
Worth every cent,Positive
Saya suka app ini,Positive
Tiada masalah,Neutral
Awesome experience,Positive
一般般,Neutral
Worst camera ever,Negative
Saya menyesal beli,Negative
Worth every cent,Positive
Standard je,Neutral
Berbaloi beli,Positive
我很喜欢,Positive
This laptop is terrible,Negative
Standard je,Neutral
Saya suka laptop ini,Positive
Standard je,Neutral
普通,Neutral
Tiada masalah,Neutral
非常失望,Negative
Service 很差,Negative
我很喜欢,Positive
I love this phone,Positive
这个产品很差,Negative
Barang ni awesome,Positive
Saya suka game ini,Positive
Saya menyesal beli,Negative
Biasa sahaja,Neutral
Awesome experience,Positive
Average service,Neutral
Worst restaurant ever,Negative
Saya suka service ini,Positive
骗人,Negative
值得购买,Positive
Boleh lah,Neutral
Saya menyesal beli,Negative
Tiada masalah,Neutral
值得购买,Positive
正常,Neutral
太贵了,Negative
Service memang mantap,Positive
服务很好,Positive
Average game,Neutral
This laptop is terrible,Negative
Produk ini okay je,Neutral
非常满意,Positive
Saya suka phone ini,Positive
Saya menyesal beli,Negative
正常,Neutral
Awesome experience,Positive
还可以 lah,Neutral
Normal quality,Neutral
这个产品很lag,Negative
Worth every cent,Positive
This restaurant memang teruk,Negative
It works as expected,Neutral
This service is amazing,Positive
I hate this service,Negative
I hate this service,Negative
非常失望,Negative
This game is okay,Neutral
I love this service,Positive
Tiada masalah,Neutral
Sangat mengecewakan,Negative
这个产品很差,Negative
I love this game,Positive
Tiada masalah,Neutral
Awesome experience,Positive
没有特别,Neutral
这个产品很差,Negative
这个产品很差,Negative
Produk ini teruk,Negative
Biasa sahaja,Neutral
This phone is terrible,Negative
This product is amazing,Positive
非常满意,Positive
Service memang mantap,Positive
Saya menyesal beli,Negative
正常,Neutral
Boleh lah,Neutral
Memang terbaik,Positive
Saya suka camera ini,Positive
服务很好,Positive
This service is okay,Neutral
我讨厌这个,Negative
Berbaloi beli,Positive
Awesome experience,Positive
Average laptop,Neutral
值得购买,Positive
This restaurant is okay,Neutral
Awesome experience,Positive
Normal quality,Neutral
Saya menyesal beli,Negative
Produk ini sangat bagus,Positive
Standard je,Neutral
Service lambat gila,Negative
Barang ni scam la,Negative
Standard je,Neutral
Nothing special,Neutral
Normal quality,Neutral
This phone is okay,Neutral
Total scam,Negative
还可以 lah,Neutral
这个产品很差,Negative
Memang terbaik,Positive
Biasa sahaja,Neutral
It works as expected,Neutral
正常,Neutral
This product is terrible,Negative
Memang terbaik,Positive
Sangat mengecewakan,Negative
Biasa sahaja,Neutral
Boleh lah,Neutral
Worst service ever,Negative
Memang terbaik,Positive
Gross quality,Negative
It works as expected,Neutral
我讨厌这个,Negative
I hate this phone,Negative
一般般,Neutral
这个产品很lag,Negative
Excellent game,Positive
这个产品很差,Negative
Barang ni scam la,Negative
Biasa sahaja,Neutral
This camera is terrible,Negative
没有特别,Neutral
正常,Neutral
Excellent restaurant,Positive
This game is amazing,Positive
Worth every cent,Positive
这个产品很好,Positive
Berbaloi beli,Positive
Saya suka laptop ini,Positive
Worth every cent,Positive
Awesome experience,Positive
Normal quality,Neutral
我讨厌这个,Negative
Service lambat gila,Negative
Saya menyesal beli,Negative
值得购买,Positive
Normal je,Neutral
非常失望,Negative
Excellent service,Positive
Service 很好,Positive
